artist_name,count
The Beatles,13621
The Killers,6878
John Mayer,4855
Bob Dylan,3814
Paul McCartney,2697
Led Zeppelin,2482
Johnny Cash,2478
The Rolling Stones,2390
Radiohead,2305
The Black Keys,2231
Imagine Dragons,2116
Pink Floyd,2105
The Strokes,1818
Coldplay,1631
Arctic Monkeys,1600
Lou Reed,1558
The Velvet Underground,1507
Ed Sheeran,1458
Howard Shore,1446
Kings of Leon,1381
Elvis Presley,1281
John Lennon,1279
Billy Joel,1262
Arcade Fire,1137
Mumford & Sons,1074
Creedence Clearwater Revival,999
Ennio Morricone,994
Liam Gallagher,993
Vampire Weekend,982
The Lumineers,953
Oasis,906
AWOLNATION,902
David Bowie,896
The Script,893
James Bay,849
Frank Sinatra,818
Queen,807
Joaquín Sabina,796
The Kinks,780
OneRepublic,773
Zac Brown Band,764
José Alfredo Jimenez,746
Houndmouth,735
The White Stripes,670
Keuning,629
The Mud Howlers,616
Elton John,614
Juanes,585
Maroon 5,581
Hozier,559
